routename,distKM,time
Mascate-Cochin,2547.19,25
Mascate-Goa,2048.66,21
Mascate-Tidore,9351.69,83
Mascate-Sohar,443.66,7
Mascate-Trincomalee,3741.14,35
Mascate-Malaca,5998.92,54
Mascate-São Tomé de Meliapor,4289.81,40
Mascate-Negapatão,4488.3,41
Mascate-Diu,1462.76,15
Mascate-Macau,8864.79,79
Mascate-Amboíno,9238.88,82
Mascate-Socotra,1740.77,18
Mascate-Bombaim,1644.88,17
Mascate-Quiloa,4612.35,43
Mascate-Porto,18308.28,160
Mascate-Olinda,14980.83,132
Mascate-São Jorge dos Ilhéus,14857.43,131
Mascate-Natal - Capitania do Rio Grande,14821.58,130
Mascate-Salvador,14742.71,130
Mascate-Porto Seguro,14738.41,130
Mascate-Rio de Janeiro,14494.47,128
Mascate-Vila do Espírito Santo,14437.22,127
Macau-Lisboa,22638.3,198
Macau-Monte Pascoal - BA,19254.15,168
Macau-Cananor,6666.04,60
Macau-Ilhas Canárias,21346.51,186
Macau-Santiago - Cabo Verde,20176.79,176
Macau-Baía de Santa Helena,13336.66,118
Macau-Cabo da Boa esperança,13254.76,117
Macau-Mossel Bay,13549.15,119
Macau-Natal,11788.86,104
Macau-Quelimane,12086.33,107
Macau-Ilha de moçambique,10879.53,96
Macau-Mombaça,10507.82,93
Macau-Malindi,10611.49,94
Macau-Goa,7937.11,71
Macau-Calicute,6638.09,60
Macau-Ceuta,22622.42,197
Macau-Tanger,22419.2,196
Macau-Arzila,22452.52,196
Macau-Alcácer-Quibir,22500.77,196
Macau-Cochin,6534.8,59
Macau-Goa,7937.11,71
Macau-Tidore,3829.74,36
Macau-Sohar,9154.7,82
Macau-Trincomalee,5794.25,53
Macau-Malaca,2997.44,29
Macau-São Tomé de Meliapor,5781.49,53
Macau-Negapatão,5979.97,54
Macau-Diu,7930.61,71
Macau-Mascate,8864.79,79
Macau-Amboíno,3969.75,37
Macau-Socotra,8802.61,79
Macau-Bombaim,7533.33,68
Macau-Quiloa,11020.8,98
Macau-Porto,22875.94,200
Macau-Olinda,19548.5,171
Macau-São Jorge dos Ilhéus,19425.09,170
Macau-Natal - Capitania do Rio Grande,19389.24,170
Macau-Salvador,19310.37,169
Macau-Porto Seguro,19306.07,169
Macau-Rio de Janeiro,19062.13,167
Macau-Vila do Espírito Santo,19004.88,166
Amboíno-Lisboa,21800.89,190
Amboíno-Monte Pascoal - BA,18416.75,161
Amboíno-Cananor,7040.13,63
Amboíno-Ilhas Canárias,20509.1,179
Amboíno-Santiago - Cabo Verde,19339.39,169
Amboíno-Baía de Santa Helena,12499.25,110
Amboíno-Cabo da Boa esperança,12417.36,110
Amboíno-Mossel Bay,12711.74,112
Amboíno-Natal,11045.22,98
Amboíno-Quelimane,11342.69,100
Amboíno-Ilha de moçambique,10181,90
Amboíno-Mombaça,10412.1,92
Amboíno-Malindi,10515.76,93
Amboíno-Goa,8311.2,74
Amboíno-Calicute,7012.18,63
Amboíno-Ceuta,21785.01,190
Amboíno-Tanger,21581.79,188
Amboíno-Arzila,21615.12,189
Amboíno-Alcácer-Quibir,21663.36,189
Amboíno-Cochin,6908.89,62
Amboíno-Goa,8311.2,74
Amboíno-Tidore,542.09,8
Amboíno-Sohar,9528.79,85
Amboíno-Trincomalee,6168.34,56
Amboíno-Malaca,3371.53,32
Amboíno-São Tomé de Meliapor,6155.57,56
Amboíno-Negapatão,6354.06,58
Amboíno-Diu,8304.7,74
Amboíno-Mascate,9238.88,82
Amboíno-Macau,3969.75,37
Amboíno-Socotra,9176.7,82
Amboíno-Bombaim,7907.42,71
Amboíno-Quiloa,10488.61,93
Amboíno-Porto,22038.54,192
Amboíno-Olinda,18711.09,164
Amboíno-São Jorge dos Ilhéus,18587.69,163
Amboíno-Natal - Capitania do Rio Grande,18551.84,162
Amboíno-Salvador,18472.96,162
Amboíno-Porto Seguro,18468.66,162
Amboíno-Rio de Janeiro,18224.73,160
Amboíno-Vila do Espírito Santo,18167.47,159
Socotra-Lisboa,16496.08,145
Socotra-Monte Pascoal - BA,13111.93,116
Socotra-Cananor,2790.08,27
Socotra-Ilhas Canárias,15204.28,134
Socotra-Santiago - Cabo Verde,14034.57,124
Socotra-Baía de Santa Helena,7194.44,65
Socotra-Cabo da Boa esperança,7112.54,64
Socotra-Mossel Bay,7406.92,67
Socotra-Natal,5425.33,50
Socotra-Quelimane,5170.79,47
Socotra-Ilha de moçambique,3489.99,33
Socotra-Mombaça,2524.81,25
Socotra-Malindi,2628.48,25
Socotra-Goa,2758.03,27
Socotra-Calicute,2762.13,27
Socotra-Ceuta,16480.19,145
Socotra-Tanger,16276.97,143
Socotra-Arzila,16310.3,143
Socotra-Alcácer-Quibir,16358.55,144
Socotra-Cochin,2658.84,26
Socotra-Goa,2758.03,27
Socotra-Tidore,9289.51,83
Socotra-Sohar,2030.67,20
Socotra-Trincomalee,3678.95,35
Socotra-Malaca,5936.73,54
Socotra-São Tomé de Meliapor,4227.63,39
Socotra-Negapatão,4426.12,41
Socotra-Diu,2258.61,22
Socotra-Mascate,1740.77,18
Socotra-Macau,8802.61,79
Socotra-Amboíno,9176.7,82
Socotra-Bombaim,2354.25,23
Socotra-Quiloa,3037.79,29
Socotra-Porto,16733.72,147
Socotra-Olinda,13406.27,118
Socotra-São Jorge dos Ilhéus,13282.87,117
Socotra-Natal - Capitania do Rio Grande,13247.02,117
Socotra-Salvador,13168.15,116
Socotra-Porto Seguro,13163.85,116
Socotra-Rio de Janeiro,12919.91,114
Socotra-Vila do Espírito Santo,12862.66,114
Bombaim-Lisboa,18275.02,160
Bombaim-Monte Pascoal - BA,14890.87,131
Bombaim-Cananor,1346.96,14
Bombaim-Ilhas Canárias,16983.23,149
Bombaim-Santiago - Cabo Verde,15813.51,139
Bombaim-Baía de Santa Helena,8973.38,80
Bombaim-Cabo da Boa esperança,8891.49,79
Bombaim-Mossel Bay,9185.87,82
Bombaim-Natal,7204.28,65
Bombaim-Quelimane,6949.74,63
Bombaim-Ilha de moçambique,5268.93,48
Bombaim-Mombaça,4579.57,42
Bombaim-Malindi,4683.23,43
Bombaim-Goa,433.11,7
Bombaim-Calicute,1319.01,14
Bombaim-Ceuta,18259.14,160
Bombaim-Tanger,18055.92,158
Bombaim-Arzila,18089.25,158
Bombaim-Alcácer-Quibir,18137.49,159
Bombaim-Cochin,1215.72,13
Bombaim-Goa,433.11,7
Bombaim-Tidore,8020.23,72
Bombaim-Sohar,1934.79,20
Bombaim-Trincomalee,2409.67,24
Bombaim-Malaca,4667.45,43
Bombaim-São Tomé de Meliapor,2958.35,28
Bombaim-Negapatão,3156.83,30
Bombaim-Diu,455.87,7
Bombaim-Mascate,1644.88,17
Bombaim-Macau,7533.33,68
Bombaim-Amboíno,7907.42,71
Bombaim-Socotra,2354.25,23
Bombaim-Quiloa,5092.54,47
Bombaim-Porto,18512.67,162
Bombaim-Olinda,15185.22,133
Bombaim-São Jorge dos Ilhéus,15061.82,132
Bombaim-Natal - Capitania do Rio Grande,15025.97,132
Bombaim-Salvador,14947.09,131
Bombaim-Porto Seguro,14942.79,131
Bombaim-Rio de Janeiro,14698.86,129
Bombaim-Vila do Espírito Santo,14641.6,129
Quiloa-Lisboa,14514.89,128
Quiloa-Monte Pascoal - BA,11130.74,99
Quiloa-Cananor,5246.56,48
Quiloa-Ilhas Canárias,13223.09,117
Quiloa-Santiago - Cabo Verde,12053.38,107
Quiloa-Baía de Santa Helena,5213.25,48
Quiloa-Cabo da Boa esperança,5131.35,47
Quiloa-Mossel Bay,5425.73,50
Quiloa-Natal,3444.14,33
Quiloa-Quelimane,3189.6,30
Quiloa-Ilha de moçambique,1508.79,16
Quiloa-Mombaça,658.53,9
Quiloa-Malindi,762.2,9
Quiloa-Goa,5496.33,50
Quiloa-Calicute,5218.61,48
Quiloa-Ceuta,14499,128
Quiloa-Tanger,14295.78,126
Quiloa-Arzila,14329.11,126
Quiloa-Alcácer-Quibir,14377.36,127
Quiloa-Cochin,5115.32,47
Quiloa-Goa,5496.33,50
Quiloa-Tidore,10601.42,94
Quiloa-Sohar,4902.25,45
Quiloa-Trincomalee,5897.14,54
Quiloa-Malaca,8154.92,73
Quiloa-São Tomé de Meliapor,6445.82,58
Quiloa-Negapatão,6644.3,60
Quiloa-Diu,5004.65,46
Quiloa-Mascate,4612.35,43
Quiloa-Macau,11020.8,98
Quiloa-Amboíno,10488.61,93
Quiloa-Socotra,3037.79,29
Quiloa-Bombaim,5092.54,47
Quiloa-Porto,14752.53,130
Quiloa-Olinda,11425.08,101
Quiloa-São Jorge dos Ilhéus,11301.68,100
Quiloa-Natal - Capitania do Rio Grande,11265.83,100
Quiloa-Salvador,11186.96,99
Quiloa-Porto Seguro,11182.66,99
Quiloa-Rio de Janeiro,10938.72,97
Quiloa-Vila do Espírito Santo,10881.47,96
Porto-Lisboa,639.42,8
Porto-Monte Pascoal - BA,7924.01,71
Porto-Cananor,18381.97,161
Porto-Ilhas Canárias,1697.56,17
Porto-Santiago - Cabo Verde,3312.18,31
Porto-Baía de Santa Helena,10022.73,89
Porto-Cabo da Boa esperança,9940.84,88
Porto-Mossel Bay,10235.22,91
Porto-Natal,11498.5,102
Porto-Quelimane,12855.36,113
Porto-Ilha de moçambique,13452.04,119
Porto-Mombaça,14757.78,130
Porto-Malindi,14861.44,131
Porto-Goa,18916.45,166
Porto-Calicute,18354.03,161
Porto-Ceuta,1048.96,12
Porto-Tanger,845.74,10
Porto-Arzila,879.07,10
Porto-Alcácer-Quibir,927.31,11
Porto-Cochin,18250.74,160
Porto-Goa,18916.45,166
Porto-Tidore,22151.35,193
Porto-Sohar,18598.19,163
Porto-Trincomalee,18405.32,161
Porto-Malaca,20456.41,179
Porto-São Tomé de Meliapor,18954,166
Porto-Negapatão,19152.49,168
Porto-Diu,18524.99,162
Porto-Mascate,18308.28,160
Porto-Macau,22875.94,200
Porto-Amboíno,22038.54,192
Porto-Socotra,16733.72,147
Porto-Bombaim,18512.67,162
Porto-Quiloa,14752.53,130
Porto-Olinda,6159.25,56
Porto-São Jorge dos Ilhéus,7094.83,64
Porto-Natal - Capitania do Rio Grande,5999.99,54
Porto-Salvador,6980.11,63
Porto-Porto Seguro,7975.93,71
Porto-Rio de Janeiro,8214.73,74
Porto-Vila do Espírito Santo,7674.74,69
Olinda-Lisboa,5928.54,54
Olinda-Monte Pascoal - BA,2418.07,24
Olinda-Cananor,15054.53,132
Olinda-Ilhas Canárias,4629.81,43
Olinda-Santiago - Cabo Verde,2921.67,28
Olinda-Baía de Santa Helena,6775.56,61
Olinda-Cabo da Boa esperança,6693.66,60
Olinda-Mossel Bay,6988.04,63
Olinda-Natal,8171.05,73
Olinda-Quelimane,9527.91,85
Olinda-Ilha de moçambique,10124.59,90
Olinda-Mombaça,11430.33,101
Olinda-Malindi,11533.99,102
Olinda-Goa,15589,137
Olinda-Calicute,15026.58,132
Olinda-Ceuta,5963.09,54
Olinda-Tanger,5759.87,52
Olinda-Arzila,5793.2,53
Olinda-Alcácer-Quibir,5841.45,53
Olinda-Cochin,14923.29,131
Olinda-Goa,15589,137
Olinda-Tidore,18823.9,165
Olinda-Sohar,15270.74,134
Olinda-Trincomalee,15077.88,133
Olinda-Malaca,17128.96,150
Olinda-São Tomé de Meliapor,15626.55,137
Olinda-Negapatão,15825.04,139
Olinda-Diu,15197.54,134
Olinda-Mascate,14980.83,132
Olinda-Macau,19548.5,171
Olinda-Amboíno,18711.09,164
Olinda-Socotra,13406.27,118
Olinda-Bombaim,15185.22,133
Olinda-Quiloa,11425.08,101
Olinda-Porto,6159.25,56
Olinda-São Jorge dos Ilhéus,1588.89,17
Olinda-Natal - Capitania do Rio Grande,247.94,5
Olinda-Salvador,1474.17,16
Olinda-Porto Seguro,2469.99,24
Olinda-Rio de Janeiro,2708.79,26
Olinda-Vila do Espírito Santo,2168.8,22
São Jorge dos Ilhéus-Lisboa,6864.12,62
São Jorge dos Ilhéus-Monte Pascoal - BA,235.95,5
São Jorge dos Ilhéus-Cananor,14931.12,131
São Jorge dos Ilhéus-Ilhas Canárias,5565.4,51
São Jorge dos Ilhéus-Santiago - Cabo Verde,3857.26,36
São Jorge dos Ilhéus-Baía de Santa Helena,6767.43,61
São Jorge dos Ilhéus-Cabo da Boa esperança,6685.53,60
São Jorge dos Ilhéus-Mossel Bay,6979.91,63
São Jorge dos Ilhéus-Natal,8047.65,72
São Jorge dos Ilhéus-Quelimane,9404.51,84
São Jorge dos Ilhéus-Ilha de moçambique,10001.19,89
São Jorge dos Ilhéus-Mombaça,11306.92,100
São Jorge dos Ilhéus-Malindi,11410.59,101
São Jorge dos Ilhéus-Goa,15465.6,136
São Jorge dos Ilhéus-Calicute,14903.17,131
São Jorge dos Ilhéus-Ceuta,6898.68,62
São Jorge dos Ilhéus-Tanger,6695.46,60
São Jorge dos Ilhéus-Arzila,6728.79,61
São Jorge dos Ilhéus-Alcácer-Quibir,6777.03,61
São Jorge dos Ilhéus-Cochin,14799.88,130
São Jorge dos Ilhéus-Goa,15465.6,136
São Jorge dos Ilhéus-Tidore,18700.5,164
São Jorge dos Ilhéus-Sohar,15147.34,133
São Jorge dos Ilhéus-Trincomalee,14954.47,132
São Jorge dos Ilhéus-Malaca,17005.56,149
São Jorge dos Ilhéus-São Tomé de Meliapor,15503.15,136
São Jorge dos Ilhéus-Negapatão,15701.63,138
São Jorge dos Ilhéus-Diu,15074.14,133
São Jorge dos Ilhéus-Mascate,14857.43,131
São Jorge dos Ilhéus-Macau,19425.09,170
São Jorge dos Ilhéus-Amboíno,18587.69,163
São Jorge dos Ilhéus-Socotra,13282.87,117
São Jorge dos Ilhéus-Bombaim,15061.82,132
São Jorge dos Ilhéus-Quiloa,11301.68,100
São Jorge dos Ilhéus-Porto,7094.83,64
São Jorge dos Ilhéus-Olinda,1588.89,17
São Jorge dos Ilhéus-Natal - Capitania do Rio Grande,1429.64,15
São Jorge dos Ilhéus-Salvador,209.58,5
São Jorge dos Ilhéus-Porto Seguro,183.28,4
São Jorge dos Ilhéus-Rio de Janeiro,1850.79,19
São Jorge dos Ilhéus-Vila do Espírito Santo,1310.8,14
Natal - Capitania do Rio Grande-Lisboa,5769.28,53
Natal - Capitania do Rio Grande-Monte Pascoal - BA,2258.81,22
Natal - Capitania do Rio Grande-Cananor,14895.27,131
Natal - Capitania do Rio Grande-Ilhas Canárias,4470.55,41
Natal - Capitania do Rio Grande-Santiago - Cabo Verde,2762.41,27
Natal - Capitania do Rio Grande-Baía de Santa Helena,6616.3,60
Natal - Capitania do Rio Grande-Cabo da Boa esperança,6534.41,59
Natal - Capitania do Rio Grande-Mossel Bay,6828.79,62
Natal - Capitania do Rio Grande-Natal,8011.8,72
Natal - Capitania do Rio Grande-Quelimane,9368.66,83
Natal - Capitania do Rio Grande-Ilha de moçambique,9965.33,89
Natal - Capitania do Rio Grande-Mombaça,11271.07,100
Natal - Capitania do Rio Grande-Malindi,11374.74,101
Natal - Capitania do Rio Grande-Goa,15429.75,136
Natal - Capitania do Rio Grande-Calicute,14867.32,131
Natal - Capitania do Rio Grande-Ceuta,5803.84,53
Natal - Capitania do Rio Grande-Tanger,5600.62,51
Natal - Capitania do Rio Grande-Arzila,5633.95,51
Natal - Capitania do Rio Grande-Alcácer-Quibir,5682.19,52
Natal - Capitania do Rio Grande-Cochin,14764.03,130
Natal - Capitania do Rio Grande-Goa,15429.75,136
Natal - Capitania do Rio Grande-Tidore,18664.65,163
Natal - Capitania do Rio Grande-Sohar,15111.48,133
Natal - Capitania do Rio Grande-Trincomalee,14918.62,131
Natal - Capitania do Rio Grande-Malaca,16969.71,149
Natal - Capitania do Rio Grande-São Tomé de Meliapor,15467.3,136
Natal - Capitania do Rio Grande-Negapatão,15665.78,138
Natal - Capitania do Rio Grande-Diu,15038.29,132
Natal - Capitania do Rio Grande-Mascate,14821.58,130
Natal - Capitania do Rio Grande-Macau,19389.24,170
Natal - Capitania do Rio Grande-Amboíno,18551.84,162
Natal - Capitania do Rio Grande-Socotra,13247.02,117
Natal - Capitania do Rio Grande-Bombaim,15025.97,132
Natal - Capitania do Rio Grande-Quiloa,11265.83,100
Natal - Capitania do Rio Grande-Porto,5999.99,54
Natal - Capitania do Rio Grande-Olinda,247.94,5
Natal - Capitania do Rio Grande-São Jorge dos Ilhéus,1429.64,15
Natal - Capitania do Rio Grande-Salvador,1314.92,14
Natal - Capitania do Rio Grande-Porto Seguro,2310.73,23
Natal - Capitania do Rio Grande-Rio de Janeiro,2549.53,25
Natal - Capitania do Rio Grande-Vila do Espírito Santo,2009.54,20
Salvador-Lisboa,6749.4,61
Salvador-Monte Pascoal - BA,444.86,7
Salvador-Cananor,14816.4,130
Salvador-Ilhas Canárias,5450.67,50
Salvador-Santiago - Cabo Verde,3742.53,35
Salvador-Baía de Santa Helena,6652.7,60
Salvador-Cabo da Boa esperança,6570.81,59
Salvador-Mossel Bay,6865.19,62
Salvador-Natal,7932.92,71
Salvador-Quelimane,9289.78,83
Salvador-Ilha de moçambique,9886.46,88
Salvador-Mombaça,11192.2,99
Salvador-Malindi,11295.86,100
Salvador-Goa,15350.87,135
Salvador-Calicute,14788.45,130
Salvador-Ceuta,6783.96,61
Salvador-Tanger,6580.74,59
Salvador-Arzila,6614.07,60
Salvador-Alcácer-Quibir,6662.31,60
Salvador-Cochin,14685.16,129
Salvador-Goa,15350.87,135
Salvador-Tidore,18585.78,163
Salvador-Sohar,15032.61,132
Salvador-Trincomalee,14839.75,131
Salvador-Malaca,16890.84,148
Salvador-São Tomé de Meliapor,15388.42,135
Salvador-Negapatão,15586.91,137
Salvador-Diu,14959.42,132
Salvador-Mascate,14742.71,130
Salvador-Macau,19310.37,169
Salvador-Amboíno,18472.96,162
Salvador-Socotra,13168.15,116
Salvador-Bombaim,14947.09,131
Salvador-Quiloa,11186.96,99
Salvador-Porto,6980.11,63
Salvador-Olinda,1474.17,16
Salvador-São Jorge dos Ilhéus,209.58,5
Salvador-Natal - Capitania do Rio Grande,1314.92,14
Salvador-Porto Seguro,389.49,6
Salvador-Rio de Janeiro,1736.06,18
Salvador-Vila do Espírito Santo,1196.07,13
Porto Seguro-Lisboa,7745.21,70
Porto Seguro-Monte Pascoal - BA,61.47,3
Porto Seguro-Cananor,14812.1,130
Porto Seguro-Ilhas Canárias,6446.49,58
Porto Seguro-Santiago - Cabo Verde,4738.35,44
Porto Seguro-Baía de Santa Helena,6648.4,60
Porto Seguro-Cabo da Boa esperança,6566.51,59
Porto Seguro-Mossel Bay,6860.89,62
Porto Seguro-Natal,7928.62,71
Porto Seguro-Quelimane,9285.48,83
Porto Seguro-Ilha de moçambique,9882.16,88
Porto Seguro-Mombaça,11187.9,99
Porto Seguro-Malindi,11291.56,100
Porto Seguro-Goa,15346.57,135
Porto Seguro-Calicute,14784.15,130
Porto Seguro-Ceuta,7779.77,70
Porto Seguro-Tanger,7576.55,68
Porto Seguro-Arzila,7609.88,68
Porto Seguro-Alcácer-Quibir,7658.13,69
Porto Seguro-Cochin,14680.86,129
Porto Seguro-Goa,15346.57,135
Porto Seguro-Tidore,18581.48,163
Porto Seguro-Sohar,15028.31,132
Porto Seguro-Trincomalee,14835.45,130
Porto Seguro-Malaca,16886.54,148
Porto Seguro-São Tomé de Meliapor,15384.13,135
Porto Seguro-Negapatão,15582.61,137
Porto Seguro-Diu,14955.12,132
Porto Seguro-Mascate,14738.41,130
Porto Seguro-Macau,19306.07,169
Porto Seguro-Amboíno,18468.66,162
Porto Seguro-Socotra,13163.85,116
Porto Seguro-Bombaim,14942.79,131
Porto Seguro-Quiloa,11182.66,99
Porto Seguro-Porto,7975.93,71
Porto Seguro-Olinda,2469.99,24
Porto Seguro-São Jorge dos Ilhéus,183.28,4
Porto Seguro-Natal - Capitania do Rio Grande,2310.73,23
Porto Seguro-Salvador,389.49,6
Porto Seguro-Rio de Janeiro,1030.09,12
Porto Seguro-Vila do Espírito Santo,448.94,7
Rio de Janeiro-Lisboa,7984.01,72
Rio de Janeiro-Monte Pascoal - BA,978.17,11
Rio de Janeiro-Cananor,14568.16,128
Rio de Janeiro-Ilhas Canárias,6685.29,60
Rio de Janeiro-Santiago - Cabo Verde,4977.15,46
Rio de Janeiro-Baía de Santa Helena,6404.47,58
Rio de Janeiro-Cabo da Boa esperança,6322.57,57
Rio de Janeiro-Mossel Bay,6616.95,60
Rio de Janeiro-Natal,7684.69,69
Rio de Janeiro-Quelimane,9041.55,81
Rio de Janeiro-Ilha de moçambique,9638.23,86
Rio de Janeiro-Mombaça,10943.96,97
Rio de Janeiro-Malindi,11047.63,98
Rio de Janeiro-Goa,15102.64,133
Rio de Janeiro-Calicute,14540.21,128
Rio de Janeiro-Ceuta,8018.57,72
Rio de Janeiro-Tanger,7815.35,70
Rio de Janeiro-Arzila,7848.68,70
Rio de Janeiro-Alcácer-Quibir,7896.93,71
Rio de Janeiro-Cochin,14436.92,127
Rio de Janeiro-Goa,15102.64,133
Rio de Janeiro-Tidore,18337.54,161
Rio de Janeiro-Sohar,14784.38,130
Rio de Janeiro-Trincomalee,14591.51,128
Rio de Janeiro-Malaca,16642.6,146
Rio de Janeiro-São Tomé de Meliapor,15140.19,133
Rio de Janeiro-Negapatão,15338.67,135
Rio de Janeiro-Diu,14711.18,129
Rio de Janeiro-Mascate,14494.47,128
Rio de Janeiro-Macau,19062.13,167
Rio de Janeiro-Amboíno,18224.73,160
Rio de Janeiro-Socotra,12919.91,114
Rio de Janeiro-Bombaim,14698.86,129
Rio de Janeiro-Quiloa,10938.72,97
Rio de Janeiro-Porto,8214.73,74
Rio de Janeiro-Olinda,2708.79,26
Rio de Janeiro-São Jorge dos Ilhéus,1850.79,19
Rio de Janeiro-Natal - Capitania do Rio Grande,2549.53,25
Rio de Janeiro-Salvador,1736.06,18
Rio de Janeiro-Porto Seguro,1030.09,12
Rio de Janeiro-Vila do Espírito Santo,728.9,9
Vila do Espírito Santo-Lisboa,7444.02,67
Vila do Espírito Santo-Monte Pascoal - BA,391.44,6
Vila do Espírito Santo-Cananor,14510.91,128
Vila do Espírito Santo-Ilhas Canárias,6145.3,56
Vila do Espírito Santo-Santiago - Cabo Verde,4437.16,41
Vila do Espírito Santo-Baía de Santa Helena,6347.21,57
Vila do Espírito Santo-Cabo da Boa esperança,6265.32,57
Vila do Espírito Santo-Mossel Bay,6559.7,59
Vila do Espírito Santo-Natal,7627.43,68
Vila do Espírito Santo-Quelimane,8984.29,80
Vila do Espírito Santo-Ilha de moçambique,9580.97,85
Vila do Espírito Santo-Mombaça,10886.71,97
Vila do Espírito Santo-Malindi,10990.37,97
Vila do Espírito Santo-Goa,15045.38,132
Vila do Espírito Santo-Calicute,14482.96,127
Vila do Espírito Santo-Ceuta,7478.58,67
Vila do Espírito Santo-Tanger,7275.36,65
Vila do Espírito Santo-Arzila,7308.69,66
Vila do Espírito Santo-Alcácer-Quibir,7356.94,66
Vila do Espírito Santo-Cochin,14379.67,127
Vila do Espírito Santo-Goa,15045.38,132
Vila do Espírito Santo-Tidore,18280.29,160
Vila do Espírito Santo-Sohar,14727.12,130
Vila do Espírito Santo-Trincomalee,14534.26,128
Vila do Espírito Santo-Malaca,16585.35,146
Vila do Espírito Santo-São Tomé de Meliapor,15082.93,133
Vila do Espírito Santo-Negapatão,15281.42,134
Vila do Espírito Santo-Diu,14653.92,129
Vila do Espírito Santo-Mascate,14437.22,127
Vila do Espírito Santo-Macau,19004.88,166
Vila do Espírito Santo-Amboíno,18167.47,159
Vila do Espírito Santo-Socotra,12862.66,114
Vila do Espírito Santo-Bombaim,14641.6,129
Vila do Espírito Santo-Quiloa,10881.47,96
Vila do Espírito Santo-Porto,7674.74,69
Vila do Espírito Santo-Olinda,2168.8,22
Vila do Espírito Santo-São Jorge dos Ilhéus,1310.8,14
Vila do Espírito Santo-Natal - Capitania do Rio Grande,2009.54,20
Vila do Espírito Santo-Salvador,1196.07,13
Vila do Espírito Santo-Porto Seguro,448.94,7
Vila do Espírito Santo-Rio de Janeiro,728.9,9
